University,City,State,Application fee,Tution fee,Living Expences,Part time jobs,GRE,GMAT,IELTS,TOEFL,PTE,Duolingo,GPA,Programs,CS,IT,BA,DS,CE,DE,IS,AI,CSEC,ECS,ML,SE,IM
Cornell University,Rochester,NY,$80 ,"$33,000 ",65,50,295,700,7,100,54,,3.0/4,"CS,IS,BA","$29,400 ",,"$59,800 ",,,,"$62,500 ",,,,,,
Vanderbilt University,Nashville,TN,$50 ,"$33,000 ",64,60,,,7,100,70,,3.0/4,"CS,DS","$33,400 ",,,"$51,200 ",,,,,,,,,
Wake Forest University,Winston-Salem,NC,$75 ,"$38,400 ",63,50,,,6.5,,,,3.0/4,"CS,BA","$39,000 ",,"$54,200 ",,,,,,,,,,
Michigan State University,East Lansing,MI,$75 ,"$33,000 ",59,50,310,600,6.5,80,54,,3.0/4,"CS,BA","$30,000 ",,"$39,000 ",,,,,,,,,,
California State University,Northridge,CA,$70 ,"$20,000 ",65,50,300,,6.5,,,,3.0/4,CS,"$16,000 ",,,,,,,,,,,,
University of Illinois--Chicago,Chicago,IL,$70 ,"$20,000 ",70,60,310,650,6.5,79,54,,3.4/4,"CS,IS,BA","$19,000 ",,"$46,300 ",,,,"$46,300 ",,,,,,
Case Western Reserve University,Cleveland,OH,$60 ,"$32,000 ",62,60,300,,6.5,,,,3.0/4,CS,"32,000",,,,,,,,,,,,
University of Richmond,Richmond,VA,$50 ,"$15,000 ",71,60,,,7.5,100,,125,3.7/4,CS,"$15,000 ",,,,,,,,,,,,
Iowa State University,Ames,IA,$70 ,"$30,000 ",58,50,300,,6.5,,,,3.0/4,"CS,IS,AI,ECS,CE","$23,800 ",,,,"$26,700 ",,"$30,000 ","$54,000 ",,"$30,000 ",,,
Oregon State University,Corvallis,OR,$85 ,"$32,000 ",65,50,,,6.5,,,,3.0/4,"CS,ECS","$24,500 ",,,,,,,,,"$24,000 ",,,
Syracuse University,Syracuse,NY,$75 ,"$30,000 ",68,50,,,6.5,90,,110,3.0/4,"CS,IS,CSEC","$27,400 ",,,,,,"$62,300 ",,"$27,400 ",,,,
Southern Methodist University,Richardson,TX,$75 ,"$25,000 ",65,60,,,6.5,,,,3.0/4,"CS,BA,SE,CSEC","$18,000 ",,"$43,800 ",,,,,,"$18,000 ",,,"$18,000 ",
University of Washington,Bothell,WA,$85 ,"$27,000 ",60,60,308,450,6.5,83,,105,3.0/4,"CS,CSEC","$26,550 ",,,,,,,,"$26,550 ",,,,
Binghamton University SUNY,Syracuse,NY,$75 ,"$20,000 ",71,65,,,6.5,80-95,,,3.0/4,"CS,ECS","$20,000 ",,,,,,,,,"$20,000 ",,,
San Jose State University,San Jose,CA,$70 ,"$17,000 ",95,50,,,6.5,80,53,,3.0/4,"CS,SE,DS","$17,000 ",,,"$14,500 ",,,,,,,,"$17,000 ",
Boston University,Medford,MA,$80 ,"$45,000 ",95,60,315,650,7,84,,110,3.0/4,"CS,AI,DS","$60,000 ",,,"$45,700 ",,,,"$61,000 ",,,,,
University of Central Florida,Orlando,FL,$30 ,"$18,000 ",70,60,310,,6.5,85,,,3.4/4,"CS,BA,DS","$18,000 ",,"$18,000 ","$18,000 ",,,,,,,,,
University of Iowa,Iowa City,IA,$60 ,"$30,000 ",78,60,,,6.5,80,,105,3.0/4,"CS,BA","$26,700 ",,"$37,450 ",,,,,,,,,,
William & Mary,Williamsburg,VA,$50 ,"$35,000 ",68,60,,,6.5,,,,3.0/4,"CS,BA","$35,500 ",,"$48,800 ",,,,,,,,,,
Drexel University,Philadelphia,PA,$65 ,"$35,500 ",71,60,310,,6.5,,,,3.0/4,"CS,BA","$31,000 ",,"$35,500 ",,,,,,,,,,
Emory University,Atlanta,GA,$75 ,"$24,000 ",68,65,300,640,6.5,80,54,,3.0/4,CS,"$45,000 ",,,,,,,,,,,,
